Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
ADNA SCHOOL DISTRICT,Washington,WA,5300060,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,587,36.26,16.19
ADRIAN ISD,Texas,TX,4807500,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,122,17.22,7.08
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,MN,2702730,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,572,42.77,13.37
ADRIAN PUBLIC SCHOOLS,Michigan,MI,2601950,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2797,176.76,15.82
ADRIAN R-III,Missouri,MO,2902850,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,701,55.56,12.62
ADRIAN SD 61,Oregon,OR,4101020,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,254,17.33,14.66
ADVANCE R-IV,Missouri,MO,2902880,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,446,34.5,12.93
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,MA,2500085,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,966,79.43,12.16
ADVANCED TECHNOLOGY ACADEMY,Michigan,MI,2600255,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1260,74.08,17.01
ADVANTAGE ACADEMY,Texas,TX,4800041,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1207,57.3,21.06
ADVANTAGE ARTS ACADEMY,UTAH,UT,4900198,,1,7-Independent Charter District,3-New,Kindergarten,6th Grade,326,–,–
ADVANTAGE CHARTER ACADEMY,LOUISIANA,LA,2200268,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,527,25.65,20.55
AEA 13 GREEN HILLS AEA,Iowa,IA,1999013,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,22.75,–
AECI II:  NYC CHARTER HS-COMP ENGIN,NEW YORK,NY,3601195,,1,7-Independent Charter District,1-Open,9th Grade,10th Grade,211,20,10.55
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,CA,0601724,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,139,6.2,22.42
AFFTON 101,Missouri,MO,2902910,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2504,171.75,14.58
AFSA HIGH SCHOOL,Minnesota,MN,2700186,,2,7-Independent Charter District,1-Open,Kindergarten,12th Grade,438,34.19,12.81
AFTON,Oklahoma,OK,4002520,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,458,35.29,12.98
AFTON CENTRAL SCHOOL DISTRICT,New York,NY,3602400,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,488,59.01,8.27
AGAMIM CLASSICAL ACADEMY,Minnesota,MN,2700394,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,314,20,15.7
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,SD,4600042,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,268,29.43,9.11
AGATE SCHOOL DISTRICT NO. 300,Colorado,CO,0801980,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,73,10.55,6.92
AGAWAM,Massachusetts,MA,2501800,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3508,305.86,11.47
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,MI,2600106,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,373,24.1,15.48
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,CA,0602543,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,98,4,24.5
AGORA CYBER CS,Pennsylvania,PA,4200140,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,7345,414.44,17.72
AGRA,Oklahoma,OK,4002550,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,321,17.02,18.86
AGUA DULCE ISD,Texas,TX,4807530,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,406,33.5,12.12
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,AZ,0400450,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,8403,436.3,19.26
AGUILA ELEMENTARY DISTRICT (4249),Arizona,AZ,0400480,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,137,9.04,15.15
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,CO,0802010,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,100,8.54,11.71
AGWSR COMM SCHOOL DISTRICT,Iowa,IA,1903060,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,699,50.76,13.77
AHSTW COMM SCHOOL DISTRICT,Iowa,IA,1904080,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,735,55.08,13.34
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,AZ,0400274,,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,93,–,–
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,AZ,0400970,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,15,–,–
AIKEN 01,South Carolina,SC,4500720,,42,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,22538,1529.56,14.73
AINSWORTH COMMUNITY SCHOOLS,Nebraska,NE,3102790,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,415,45.4,9.14
AIRLINE CSD,Maine,ME,2302500,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,47,4.9,9.59
AIRPORT COMMUNITY SCHOOLS,Michigan,MI,2601980,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2605,142.66,18.26
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,MN,2702760,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1121,79.62,14.08
AJO UNIFIED DISTRICT (4409),Arizona,AZ,0400520,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,356,23.62,15.07
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,LA,2200208,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,596,39,15.28
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,AZ,0400403,,1,7-Independent Charter District,1-Open,Kindergarten,2nd Grade,17,–,–
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,AZ,0400404,,1,7-Independent Charter District,1-Open,3rd Grade,5th Grade,7,†,–
AKIN CCSD 91,Illinois,IL,1703210,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,108,–,–
AKRON CENTRAL SCHOOL DISTRICT,New York,NY,3602430,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1298,114.91,11.3
AKRON CITY,Ohio,OH,3904348,,47,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,20563,1494.37,13.76
AKRON PREPARATORY SCHOOL,Ohio,OH,3901503,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,366,14,26.14
AKRON SCHOOL DISTRICT NO. R-1,Colorado,CO,0802040,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,392,37.07,10.57
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,IA,1903220,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,589,49.66,11.86
AKRON-FAIRGROVE SCHOOLS,Michigan,MI,2602010,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,340,18.06,18.83
AKROS MIDDLE SCHOOL,Ohio,OH,3901428,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,119,7.8,15.26
AL INST DEAF AND BLIND,Alabama,AL,0100009,,5,5-State agency providing elementary and/or secondary level instruction,1-Open,Kindergarten,12th Grade,–,0.00,–
ALABAMA CLINICAL SCHOOLS,Alabama,AL,0100183,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,†,†,†,0.00,–
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL,0100018,,0,5-State agency providing elementary and/or secondary level instruction,1-Open,7th Grade,12th Grade,–,0.00,–
ALABAMA YOUTH SERVICES,Alabama,AL,0100002,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,–,0.00,–
ALABASTER CITY,Alabama,AL,0100190,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6187,354.38,17.46
ALACHUA,Florida,FL,1200030,,64,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,28300,1597.53,17.71
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CA,0602092,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,1386,71.31,19.44
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,NC,3700467,,1,7-Independent Charter District,3-New,Kindergarten,3rd Grade,340,17.79,19.11
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,NC,3700030,,36,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,13th Grade,21931,1502.24,14.6
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,CA,0601355,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,†,†
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CA,0601664,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,358,15.44,23.19
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CA,0691051,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,289,17.75,16.28
ALAMEDA UNIFIED,California,CA,0601770,,16,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,9071,413.35,21.95
ALAMO,Tennessee,TN,4700030,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,6th Grade,594,41,14.49
ALAMO HEIGHTS ISD,Texas,TX,4807590,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4846,354.58,13.67
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,NM,3500030,,15,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5572,322.42,17.28
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,CO,0802070,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2176,133.84,16.26
ALANSON PUBLIC SCHOOLS,Michigan,MI,2621810,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,210,16.01,13.12
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,AK,0200050,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,407,32.05,12.7
ALBA PUBLIC SCHOOLS,Michigan,MI,2602040,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,111,7.6,14.61
ALBA-GOLDEN ISD,Texas,TX,4807650,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,861,82.71,10.41
ALBANY CITY SCHOOL DISTRICT,New York,NY,3602460,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,8501,642.41,13.23
ALBANY CITY UNIFIED,California,CA,0601860,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3501,166.07,21.08
ALBANY COMMUNITY CHARTER SCHOOL,New York,NY,3600162,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,669,‡,–
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,WY,5600730,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3917,365.9,10.71
ALBANY ISD,Texas,TX,4807680,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,503,43.22,11.64
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,New York,NY,3601006,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,285,‡,–
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,MN,2702930,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1786,100.7,17.74
ALBANY R-III,Missouri,MO,2902970,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,457,35.75,12.78
ALBANY SCHOOL DISTRICT,New Hampshire,NH,3301350,009 ,0,2-Local school district that is a component of a supervisory union,1-Open,†,†,†,†,†
ALBANY SCHOOL DISTRICT,Wisconsin,WI,5500120,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,314,34.67,9.06
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,NY,3680100,,1,4-Regional Education Service Agency (RESA),1-Open,Kindergarten,12th Grade,0,128.5,0.00
ALBEMARLE CO PBLC SCHS,Virginia,VA,5100090,,25,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,13499,1041.25,12.96
ALBERS SD 63,Illinois,IL,1703270,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,176,–,–
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,IA,1900031,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,117,12.13,9.65
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA,0602409,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,801,33,24.27
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,CA,0601896,,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,601,29.05,20.69
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,OH,3901539,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,369,33,11.18
ALBERT GALLATIN AREA SD,Pennsylvania,PA,4202100,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3088,211.6,14.59
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,MN,2702970,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3500,233.2,15.01
ALBERTON K-12 SCHOOLS,Montana,MT,3001860,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,160,17.56,9.11
ALBERTVILLE CITY,Alabama,AL,0100005,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5842,301.5,19.38
ALBIA COMM SCHOOL DISTRICT,Iowa,IA,1903270,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1192,75.89,15.71
ALBION,Oklahoma,OK,4002580,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,61,4.57,13.35
ALBION CENTRAL SCHOOL DISTRICT,New York,NY,3602520,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1826,133,13.73
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,NM,3500134,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,395,24,16.46
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,NM,3500181,,1,7-Independent Charter District,1-Open,Kindergarten,3rd Grade,131,11,11.91
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,NM,3500130,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,382,19.5,19.59
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,NM,3500060,,174,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,83031,6050.39,13.72
ALBURG SCHOOL DISTRICT,Vermont,VT,5001770,024 ,1,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,193,22,8.77
ALBURNETT COMM SCHOOL DISTRICT,Iowa,IA,1903300,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,706,51.71,13.65
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,SD,4600028,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,369,30.41,12.13
ALCOA,Tennessee,TN,4700060,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2137,135.83,15.73
ALCONA COMMUNITY SCHOOLS,Michigan,MI,2602160,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,660,55.11,11.98
ALCORN SCHOOL DIST,Mississippi,MS,2800390,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3146,245.41,12.82
ALDEN CENTRAL SCHOOL DISTRICT,New York,NY,3602550,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1485,114.49,12.97
ALDEN COMM SCHOOL DISTRICT,Iowa,IA,1900032,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,169,18.09,9.34
ALDEN HEBRON SD 19,Illinois,IL,1703300,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,377,–,–
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,MN,2703030,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,469,36.31,12.92
ALDER ELEM,Montana,MT,3017460,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,30,3,10
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,CA,0602072,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,472,23.61,19.99
ALDINE ISD,Texas,TX,4807710,,78,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,63302,4243.82,14.92
ALDO LEOPOLD CHARTER,New Mexico,NM,3500138,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,167,16.47,10.14
ALEDO ISD,Texas,TX,4807780,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6723,407.3,16.51
ALEGENT/IMMANUEL RTC,Nebraska,NE,3100181,,1,8-Other education agencies,1-Open,†,†,–,2,–
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,AK,0200010,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,25,4,6.25
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,AK,0200007,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,228,29,7.86
