Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
KEWASKUM SCHOOL DISTRICT,Wisconsin,WI,5507380,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1754,117.9,14.88
KEWAUNEE SCHOOL DISTRICT,Wisconsin,WI,5507410,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,921,70.31,13.1
KEY COLLEGIATE CHARTER SCHOOL,NEW YORK,NY,3601185,,1,7-Independent Charter District,1-Open,4th Grade,7th Grade,131,14.75,8.88
KEYA PAHA COUNTY SCHOOLS,Nebraska,NE,3172480,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,97,13.87,6.99
KEYES UNION,California,CA,0619620,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1103,47.24,23.35
KEYPORT SCHOOL DISTRICT,New Jersey,NJ,3407950,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,960,100,9.6
KEYS,Oklahoma,OK,4000033,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,683,47.48,14.39
KEYS GRACE ACADEMY,MICHIGAN,MI,2601100,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,475,23,20.65
KEYSTONE,Oklahoma,OK,4016470,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,272,21.99,12.37
KEYSTONE ACADEMY,Michigan,MI,2600289,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,674,37.51,17.97
KEYSTONE ACADEMY CS,Pennsylvania,PA,4200762,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,650,36,18.06
KEYSTONE AEA,Iowa,IA,1999001,,0,4-Regional Education Service Agency (RESA),1-Open,†,†,†,21.5,–
KEYSTONE CENTRAL CTC,Pennsylvania,PA,4280670,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,0,10,0.00
KEYSTONE CENTRAL SD,Pennsylvania,PA,4212725,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3705,267,13.88
KEYSTONE EDUCATION CENTER CS,Pennsylvania,PA,4200011,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,124,15.41,8.05
KEYSTONE EDUCATIONAL COLLABORATIVE,MASSACHUSETTS,MA,2500575,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
KEYSTONE LOCAL,Ohio,OH,3904816,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1476,83.32,17.71
KEYSTONE MONTESSORI CHARTER SCHOOL INC. (10878),Arizona,AZ,0400165,,1,7-Independent Charter District,1-Open,1st Grade,9th Grade,194,†,–
KEYSTONE OAKS SD,Pennsylvania,PA,4212750,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1907,147.29,12.95
KEYSTONE SD,Pennsylvania,PA,4212720,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,883,88.4,9.99
KEYTESVILLE R-III,Missouri,MO,2916530,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,128,20,6.4
KHALSA FAMILY SERVICES (79420),Arizona,AZ,0400317,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,261,–,–
KHALSA MONTESSORI ELEMENTARY SCHOOLS (4360),Arizona,AZ,0400069,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,150,–,–
KI CHARTER ACADEMY,TEXAS,TX,4801447,,2,7-Independent Charter District,1-Open,1st Grade,12th Grade,276,34.05,8.11
KIAMICHI TECH. CENTER- ATOKA,Oklahoma,OK,4000048,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- DURANT,Oklahoma,OK,4000050,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- HUGO,Oklahoma,OK,4000055,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- IDABEL,Oklahoma,OK,4000074,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- MCALESTER,Oklahoma,OK,4000086,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- POTEAU,Oklahoma,OK,4000070,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- STIGLER,Oklahoma,OK,4000064,,0,8-Other education agencies,1-Open,†,†,†,†,†
KIAMICHI TECH. CENTER- TALIHINA,Oklahoma,OK,4000069,,0,8-Other education agencies,1-Open,†,†,†,†,†
KICKAPOO AREA SCHOOL DISTRICT,Wisconsin,WI,5512540,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,496,39.86,12.44
KID STREET LEARNING CENTER CHARTER DISTRICT,CALIFORNIA,CA,0601712,,1,7-Independent Charter District,1-Open,Kindergarten,6th Grade,88,6,14.67
KIDDER COUNTY 1,North Dakota,ND,3800389,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,380,33.35,11.39
KIDINNU ACADEMY DISTRICT,CALIFORNIA,CA,0602495,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,173,8,21.63
KIDS CARE ELEMENTARY,OHIO,OH,3901591,,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,132,11,12
KIEFER,Oklahoma,OK,4016500,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,860,51.06,16.84
KIEL AREA SCHOOL DISTRICT,Wisconsin,WI,5507440,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1193,82.78,14.41
KILA ELEM,Montana,MT,3015570,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,182,12.6,14.44
KILDARE,Oklahoma,OK,4016530,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,102,10.67,9.56
KILDEER COUNTRYSIDE CCSD 96,Illinois,IL,1721030,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,3187,–,–
KILGORE ISD,Texas,TX,4825620,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3948,265.82,14.85
KILLDEER 16,North Dakota,ND,3810270,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,598,51.01,11.72
KILLEEN ISD,Texas,TX,4825660,,58,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,43838,2783.97,15.75
