NCESSCH,free_lunches
10282001139,0
10282002171,74
10285001126,59
10285001127,62
10285001128,69
10285001387,0
10288001132,77
10288001133,77
10288001134,53
10288001135,79
10288001138,0
10288001155,0
10288001441,73
10288001802,68
10288002192,51
10291001140,72
10291001141,67
10291001142,62
10291001143,73
10294001144,60
10294001145,53
10294001147,44
10294001148,51
10294001486,53
10294001587,55
10297000152,81
10297000540,0
10297001149,84
10297001150,85
10297001151,81
10297001153,92
10297001154,77
10297001156,76
10297001157,70
10297001158,86
10297001160,85
10297001161,90
10297001388,0
10297001872,0
10300000160,83
10300001164,65
10300001167,77
10300001168,82
10303000031,17
10303000124,16
10303000324,18
10303001169,48
10303001170,46
10303001171,15
10303001173,51
10303001174,42
10303001175,18
10303001176,64
10303001177,53
10303001178,66
10303001179,23
10303001181,62
10303001185,48
10303001186,61
10303001187,62
10303001188,48
10303001189,10
10303001190,0
10303001393,37
10303001418,0
10303001442,18
10303001461,45
10303001588,58
10303001621,26
10303001803,27
10303001804,22
10303001814,0
10303001822,19
10303001868,45
10303002085,11
10303002128,17
10303002189,16
10303002191,0
10303002199,48
10306200217,30
10306200219,52
10306200322,66
10306200520,32
10306201172,65
10306201180,0
10306201362,65
10306201367,58
10306201372,46
10306201376,69
10306201377,28
10306201378,76
10306201537,50
10306201590,0
10306201591,40
10306201622,74
10306201779,41
10306201877,60
10306202170,40
10309001191,0
10309001192,99
10309001193,96
10309001194,0
10309001195,98
10309001592,87
10309001593,0
10309002201,96
10312001199,49
10312001200,42
10312001389,0
10312001594,65
10312002100,51
10315001201,96
10315001203,80
10315001204,0
10315001205,70
10315001207,77
10315001208,86
10315001390,0
10315001724,88
10318000577,82
10318001206,0
10318001209,80
10318001210,72
10318001211,71
10318001212,85
10318001213,71
10318001214,67
10318001215,93
10318001216,54
10318001220,66
10318001226,82
10318001443,71
10318001599,88
10318001756,81
10318001805,68
10318001806,94
10318002086,71
10321000038,59
10321001228,77
10321001229,78
10321001231,0
10321001234,70
10321001857,78
10321001858,0
10324001236,56
10324001238,47
10324001601,56
10327001239,91
10327001240,95
10327001241,0
10327001391,0
10327001394,0
10327002138,97
10330001247,73
10330001248,69
10330001701,59
10333001395,0
10333001602,52
10333001603,58
10333001807,61
10336000584,14
10336001250,82
10336001251,55
10336001252,85
10336001255,78
10336001256,83
10336001257,83
10336001260,72
10336001266,69
10336001268,93
10336001269,62
10336001271,84
10336001398,0
10336001399,0
10336001608,84
10336001610,71
10336001632,26
10336001808,0
10336001881,86
10336001886,83
10336001889,22
10336002101,61
10336002102,47
10336002134,89
10336002143,38
10336002145,28
10339000052,42
10339000233,0
10339001272,87
10339001273,69
10339001274,50
10339001275,66
10339001276,73
10339001277,79
10339001278,51
10339001279,70
10339001280,51
10339001282,78
10339001283,96
10339001284,67
10339001285,67
10339001287,36
10339001289,66
10339001291,46
10339001292,53
10339001293,41
10339001294,51
10339001295,48
10339001445,55
10339001462,46
10339001540,54
10339001633,25
10339001702,40
10339001880,25
10339001882,56
10339001887,40
10339002087,37
10339002088,85
10339002153,48
10339002154,52
10339002350,47
10342000273,0
10342001297,54
10342001298,60
10342001299,57
10342001300,59
10342001400,0
10342001656,0
10343001301,10
10343001302,8
10343001303,9
10343001304,8
10343001425,2
10343001757,10
10343002103,22
10343002135,7
10345000131,71
10345000135,69
10345001225,0
10345001227,0
10345001237,0
10345001305,60
10345001307,59
10345001308,53
10345001309,54
10345001310,49
10345001311,51
10345001315,0
10345001317,59
10345001319,57
10345001320,55
10345001321,74
10345001322,71
10345001324,80
10345001325,56
10345001326,80
10345001329,0
10345001611,63
10345001703,54
10348001242,0
10348001332,89
10348001333,62
10348001335,56
10348001336,66
10348001337,58
10348001338,91
10348001339,55
10351000325,96
10351001342,89
10351001344,92
10351001353,0
10351001419,0
10351001780,99
10351001809,99
10354000343,44
10354001355,36
10354001613,50
10358001243,0
10358001356,64
10358001357,55
10358001358,68
10358001359,50
10358001360,59
10358001463,60
10358001464,69
10358001465,63
10358001466,67
20000100206,96
20000100207,60
20000100208,56
20000100209,73
20000100210,94
20000100211,84
20000100212,70
20000100213,84
20000100214,90
20000100215,0
20000100318,96
20000100329,87
20000100389,96
20000100391,88
20000100392,83
20000100406,87
20000100408,94
20000100409,95
20000100436,52
20000100438,88
20000100439,91
20000100440,95
20000100441,75
20000100474,78
20000100475,86
20000100476,91
20000100619,80
20000100620,0
20000300216,84
20000300217,80
20000300218,80
20000300219,88
20000300220,77
20000300221,0
20000300222,82
20000300410,92
20000300411,83
20000300412,89
20000300413,90
20000400579,0
20000400623,91
20000400624,91
20000500582,95
20000600558,63
20000700004,0
20000700006,0
20000700007,0
20000700008,0
20000700177,67
20000700431,0
20000700461,54
20001000005,0
20001000080,0
20001000145,0
20002000012,91
20002000013,91
20002000014,97
20002000015,75
20002000016,88
20002000017,50
20002000018,84
20002000019,65
20002000421,97
20002000422,75
20002000423,90
20002000466,78
20002000467,82
20002000468,78
20002000499,70
20003000020,43
20003000626,43
20005000023,0
20005000024,70
20005000025,88
20005000026,92
20005000027,94
20005000028,85
20005000424,83
20005000528,91
20006000029,56
